Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Product ID;Sales;Quantity;Discount;Profit
US-2017-118038;09/12/2017;12/11/2017;First Class;KB-16600;FUR-FU-10000260;R$ 9.708,00;3;60%;-R$ 58.248,00
US-2017-118038;09/12/2017;12/11/2017;First Class;KB-16600;OFF-ST-10000615;R$ 27,24;3;20%;R$ 2.724,00
US-2014-147606;26/11/2014;12/01/2014;Second Class;JE-15745;FUR-FU-10003194;R$ 19,30;5;60%;-R$ 14.475,00
CA-2016-127208;12/06/2016;6/15/2016;First Class;SC-20770;OFF-AP-10002118;R$ 208,16;1;0%;R$ 562.032,00
CA-2016-127208;12/06/2016;6/15/2016;First Class;SC-20770;OFF-BI-10002309;R$ 16,74;3;0%;R$ 80.352,00
CA-2014-139451;12/10/2014;10/16/2014;Standard Class;DN-13690;OFF-AR-10002053;R$ 14,90;5;0%;R$ 4.172,00
CA-2014-139451;12/10/2014;10/16/2014;Standard Class;DN-13690;OFF-ST-10002370;R$ 21,39;1;0%;R$ 62.031,00
CA-2015-149734;03/09/2015;09/08/2015;Standard Class;JC-16105;OFF-EN-10000927;R$ 200.984,00;7;20%;R$ 628.075,00
US-2017-119662;13/11/2017;11/16/2017;First Class;CS-12400;OFF-ST-10003656;R$ 230.376,00;3;20%;-R$ 489.549,00
CA-2017-140088;28/05/2017;5/30/2017;Second Class;PO-18865;FUR-CH-10000863;R$ 301,96;2;0%;R$ 332.156,00
CA-2017-155558;26/10/2017;11/02/2017;Standard Class;PG-18895;TEC-AC-10001998;R$ 19,99;1;0%;R$ 67.966,00
CA-2017-155558;26/10/2017;11/02/2017;Standard Class;PG-18895;OFF-LA-10000134;R$ 6,16;2;0%;R$ 29.568,00
CA-2016-159695;05/04/2016;04/10/2016;Second Class;GM-14455;OFF-ST-10003442;R$ 158.368,00;7;20%;R$ 138.572,00
CA-2016-109806;17/09/2016;9/22/2016;Standard Class;JS-15685;OFF-AR-10004930;R$ 20,10;3;0%;R$ 6.633,00
CA-2016-109806;17/09/2016;9/22/2016;Standard Class;JS-15685;TEC-PH-10004093;R$ 73.584,00;2;20%;R$ 82.782,00
CA-2016-109806;17/09/2016;9/22/2016;Standard Class;JS-15685;OFF-PA-10000304;R$ 6,48;1;0%;R$ 31.104,00
CA-2015-149587;31/01/2015;02/05/2015;Second Class;KB-16315;OFF-PA-10003177;R$ 12,96;2;0%;R$ 62.208,00
CA-2015-149587;31/01/2015;02/05/2015;Second Class;KB-16315;FUR-FU-10003799;R$ 53,34;3;0%;R$ 165.354,00
CA-2015-149587;31/01/2015;02/05/2015;Second Class;KB-16315;OFF-BI-10002852;R$ 32,96;2;0%;R$ 161.504,00
US-2017-109484;06/11/2017;11/12/2017;Standard Class;RB-19705;OFF-BI-10004738;R$ 5.682,00;1;70%;-R$ 3.788,00
CA-2017-161018;09/11/2017;11/11/2017;Second Class;PN-18775;FUR-FU-10000629;R$ 96,53;7;0%;R$ 405.426,00
CA-2017-157833;17/06/2017;6/20/2017;First Class;KD-16345;OFF-BI-10001721;R$ 51.312,00;3;20%;R$ 179.592,00
CA-2016-149223;06/09/2016;09/11/2016;Standard Class;ER-13855;OFF-AP-10000358;R$ 77,88;6;0%;R$ 225.852,00
CA-2016-158568;29/08/2016;09/02/2016;Standard Class;RB-19465;OFF-PA-10003256;R$ 64.624,00;7;20%;R$ 226.184,00
CA-2016-158568;29/08/2016;09/02/2016;Standard Class;RB-19465;TEC-AC-10001767;R$ 95.976,00;3;20%;-R$ 107.973,00
CA-2016-158568;29/08/2016;09/02/2016;Standard Class;RB-19465;OFF-BI-10002609;R$ 1.788,00;3;80%;-R$ 30.396,00
CA-2016-129903;01/12/2016;12/04/2016;Second Class;GZ-14470;OFF-PA-10004040;R$ 23,92;4;0%;R$ 117.208,00
US-2015-156867;13/11/2015;11/17/2015;Standard Class;LC-16870;TEC-AC-10001552;R$ 238.896,00;6;20%;-R$ 268.758,00
US-2015-156867;13/11/2015;11/17/2015;Standard Class;LC-16870;FUR-FU-10004006;R$ 102,36;3;20%;-R$ 38.385,00
US-2015-156867;13/11/2015;11/17/2015;Standard Class;LC-16870;OFF-BI-10002794;R$ 36.882,00;3;70%;-R$ 258.174,00
CA-2017-119004;23/11/2017;11/28/2017;Standard Class;JM-15250;TEC-AC-10003499;R$ 74.112,00;8;20%;R$ 176.016,00
CA-2017-119004;23/11/2017;11/28/2017;Standard Class;JM-15250;TEC-PH-10002844;R$ 27.992,00;1;20%;R$ 20.994,00
CA-2017-119004;23/11/2017;11/28/2017;Standard Class;JM-15250;OFF-AR-10000390;R$ 3.304,00;1;20%;R$ 10.738,00
CA-2015-129476;15/10/2015;10/20/2015;Standard Class;PA-19060;TEC-AC-10000844;R$ 339,96;5;20%;R$ 67.992,00
CA-2017-146780;25/12/2017;12/30/2017;Standard Class;CV-12805;FUR-FU-10001934;R$ 41,96;2;0%;R$ 109.096,00
CA-2016-128867;03/11/2016;11/10/2016;Standard Class;CL-12565;OFF-AR-10000380;R$ 75,96;2;0%;R$ 22.788,00
CA-2016-128867;03/11/2016;11/10/2016;Standard Class;CL-12565;OFF-BI-10003981;R$ 27,24;6;0%;R$ 133.476,00
CA-2014-115259;25/08/2014;8/27/2014;Second Class;RC-19960;OFF-FA-10000621;R$ 40.096,00;14;20%;R$ 145.348,00
CA-2014-115259;25/08/2014;8/27/2014;Second Class;RC-19960;OFF-EN-10002600;R$ 4,72;2;20%;R$ 1.652,00
CA-2014-115259;25/08/2014;8/27/2014;Second Class;RC-19960;OFF-PA-10004965;R$ 23.976,00;3;20%;R$ 74.925,00
CA-2014-115259;25/08/2014;8/27/2014;Second Class;RC-19960;OFF-EN-10002504;R$ 130.464,00;6;20%;R$ 440.316,00
CA-2015-110457;02/03/2015;03/06/2015;Standard Class;DK-13090;FUR-TA-10001768;R$ 787,53;3;0%;R$ 1.653.813,00
US-2015-136476;05/04/2015;04/10/2015;Standard Class;GG-14650;OFF-BI-10003650;R$ 157.794,00;1;70%;-R$ 1.157.156,00
CA-2016-103730;12/06/2016;6/15/2016;First Class;SC-20725;FUR-FU-10002157;R$ 47,04;3;0%;R$ 183.456,00
CA-2016-103730;12/06/2016;6/15/2016;First Class;SC-20725;OFF-BI-10003910;R$ 30,84;4;0%;R$ 13.878,00
CA-2016-103730;12/06/2016;6/15/2016;First Class;SC-20725;OFF-ST-10000777;R$ 226,56;6;0%;R$ 634.368,00
CA-2016-103730;12/06/2016;6/15/2016;First Class;SC-20725;OFF-EN-10002500;R$ 115,02;9;0%;R$ 51.759,00
CA-2016-103730;12/06/2016;6/15/2016;First Class;SC-20725;TEC-PH-10003875;R$ 68,04;7;0%;R$ 197.316,00
US-2014-152030;26/12/2014;12/28/2014;Second Class;AD-10180;FUR-CH-10004063;R$ 600.558,00;3;30%;-R$ 85.794,00
US-2014-134614;20/09/2014;9/25/2014;Standard Class;PF-19165;FUR-TA-10004534;R$ 617,70;6;50%;-R$ 407.682,00
US-2017-107272;05/11/2017;11/12/2017;Standard Class;TS-21610;OFF-BI-10003274;R$ 2.388,00;2;70%;-R$ 18.308,00
US-2017-107272;05/11/2017;11/12/2017;Standard Class;TS-21610;OFF-ST-10002974;R$ 243.992,00;7;20%;R$ 30.499,00
US-2016-125969;06/11/2016;11/10/2016;Second Class;LS-16975;FUR-CH-10001146;R$ 81.424,00;2;20%;-R$ 91.602,00
US-2016-125969;06/11/2016;11/10/2016;Second Class;LS-16975;FUR-FU-10003773;R$ 238,56;3;0%;R$ 262.416,00
US-2017-164147;02/02/2017;02/05/2017;First Class;DW-13585;TEC-PH-10002293;R$ 59,97;5;40%;-R$ 11.994,00
US-2017-164147;02/02/2017;02/05/2017;First Class;DW-13585;OFF-PA-10002377;R$ 78.304,00;2;20%;R$ 29.364,00
US-2017-164147;02/02/2017;02/05/2017;First Class;DW-13585;OFF-FA-10002780;R$ 21.456,00;9;20%;R$ 69.732,00
CA-2016-145583;13/10/2016;10/19/2016;Standard Class;LC-16885;OFF-PA-10001804;R$ 20,04;3;0%;R$ 96.192,00
CA-2016-145583;13/10/2016;10/19/2016;Standard Class;LC-16885;OFF-PA-10001736;R$ 35,44;1;0%;R$ 166.568,00
CA-2016-145583;13/10/2016;10/19/2016;Standard Class;LC-16885;OFF-AR-10001149;R$ 11,52;4;0%;R$ 3.456,00
CA-2016-145583;13/10/2016;10/19/2016;Standard Class;LC-16885;OFF-FA-10002988;R$ 4,02;2;0%;R$ 19.698,00
CA-2016-145583;13/10/2016;10/19/2016;Standard Class;LC-16885;OFF-BI-10004781;R$ 76.176,00;3;20%;R$ 266.616,00
CA-2016-145583;13/10/2016;10/19/2016;Standard Class;LC-16885;OFF-SU-10001218;R$ 65,88;6;0%;R$ 184.464,00
CA-2016-145583;13/10/2016;10/19/2016;Standard Class;LC-16885;FUR-FU-10001706;R$ 43,12;14;0%;R$ 206.976,00
CA-2016-110366;05/09/2016;09/07/2016;Second Class;JD-15895;FUR-FU-10004848;R$ 82,80;2;20%;10.35
CA-2017-106180;18/09/2017;9/23/2017;Standard Class;SH-19975;OFF-AR-10000940;R$ 8,82;3;0%;R$ 23.814,00
CA-2017-106180;18/09/2017;9/23/2017;Standard Class;SH-19975;OFF-EN-10004030;R$ 10,86;3;0%;R$ 51.042,00
CA-2017-106180;18/09/2017;9/23/2017;Standard Class;SH-19975;OFF-PA-10004327;R$ 143,70;3;0%;R$ 68.976,00
CA-2017-155376;22/12/2017;12/27/2017;Standard Class;SG-20080;OFF-AP-10001058;R$ 839,43;3;0%;R$ 2.182.518,00
CA-2015-110744;07/09/2015;09/12/2015;Standard Class;HA-14920;OFF-ST-10003656;R$ 671,93;7;0%;R$ 201.579,00
CA-2014-110072;22/10/2014;10/28/2014;Standard Class;MG-17680;FUR-FU-10000521;R$ 93.888,00;4;20%;R$ 129.096,00
CA-2016-114489;05/12/2016;12/09/2016;Standard Class;JE-16165;TEC-PH-10000215;R$ 384,45;11;0%;R$ 1.038.015,00
CA-2016-114489;05/12/2016;12/09/2016;Standard Class;JE-16165;TEC-PH-10001448;R$ 149,97;3;0%;R$ 59.988,00
CA-2016-114489;05/12/2016;12/09/2016;Standard Class;JE-16165;FUR-CH-10000454;R$ 1.951,84;8;0%;R$ 585.552,00
CA-2016-114489;05/12/2016;12/09/2016;Standard Class;JE-16165;OFF-BI-10002735;R$ 171,55;5;0%;R$ 806.285,00
CA-2016-158834;13/03/2016;3/16/2016;First Class;TW-21025;OFF-AP-10000326;R$ 157,92;5;20%;R$ 17.766,00
CA-2016-158834;13/03/2016;3/16/2016;First Class;TW-21025;TEC-PH-10001254;R$ 203.184,00;2;20%;R$ 152.388,00
CA-2015-124919;31/05/2015;06/02/2015;First Class;SP-20650;OFF-PA-10001950;R$ 58,38;7;0%;R$ 26.271,00
CA-2015-124919;31/05/2015;06/02/2015;First Class;SP-20650;OFF-PA-10002254;R$ 105,52;4;0%;R$ 485.392,00
CA-2015-124919;31/05/2015;06/02/2015;First Class;SP-20650;OFF-ST-10001590;R$ 80,88;6;0%;R$ 210.288,00
CA-2015-118948;28/05/2015;06/03/2015;Standard Class;NK-18490;OFF-AR-10001547;R$ 6,63;3;0%;R$ 17.901,00
CA-2014-104269;01/03/2014;03/06/2014;Second Class;DB-13060;FUR-CH-10004063;R$ 457.568,00;2;20%;R$ 514.764,00
CA-2016-114104;20/11/2016;11/24/2016;Standard Class;NP-18670;OFF-LA-10002475;R$ 14,62;2;0%;R$ 68.714,00
CA-2016-114104;20/11/2016;11/24/2016;Standard Class;NP-18670;TEC-PH-10004536;R$ 944,93;7;0%;R$ 2.362.325,00
CA-2016-162733;11/05/2016;05/12/2016;First Class;TT-21070;OFF-PA-10002751;R$ 5,98;1;0%;R$ 2.691,00
CA-2015-119697;28/12/2015;12/31/2015;Second Class;EM-13960;TEC-AC-10003657;R$ 54.384,00;2;20%;R$ 13.596,00
CA-2016-154508;16/11/2016;11/20/2016;Standard Class;RD-19900;OFF-EN-10001990;R$ 28,40;5;0%;R$ 13.348,00
CA-2016-113817;07/11/2016;11/11/2016;Standard Class;MJ-17740;OFF-BI-10004002;R$ 27,68;2;20%;R$ 9.688,00
CA-2014-139892;08/09/2014;09/12/2014;Standard Class;BM-11140;OFF-AR-10004441;R$ 9.936,00;3;20%;R$ 27.324,00
CA-2014-139892;08/09/2014;09/12/2014;Standard Class;BM-11140;TEC-MA-10000822;R$ 8.159.952,00;8;40%;-R$ 1.359.992,00
CA-2014-139892;08/09/2014;09/12/2014;Standard Class;BM-11140;OFF-ST-10000991;R$ 275.928,00;3;20%;-R$ 586.347,00
CA-2014-139892;08/09/2014;09/12/2014;Standard Class;BM-11140;FUR-CH-10004287;R$ 1.740,06;9;30%;-R$ 24.858,00
CA-2014-139892;08/09/2014;09/12/2014;Standard Class;BM-11140;OFF-AR-10002656;R$ 32.064,00;6;20%;R$ 68.136,00
CA-2014-139892;08/09/2014;09/12/2014;Standard Class;BM-11140;OFF-AP-10002518;R$ 177,98;5;80%;-R$ 453.849,00
CA-2014-139892;08/09/2014;09/12/2014;Standard Class;BM-11140;TEC-PH-10003931;R$ 143.976,00;3;20%;R$ 89.985,00
CA-2014-118962;05/08/2014;08/09/2014;Standard Class;CS-12130;OFF-PA-10000659;R$ 20,94;3;0%;R$ 98.418,00
CA-2014-118962;05/08/2014;08/09/2014;Standard Class;CS-12130;OFF-PA-10001144;R$ 110,96;2;0%;R$ 532.608,00
CA-2014-118962;05/08/2014;08/09/2014;Standard Class;CS-12130;FUR-CH-10003817;R$ 340.144,00;7;20%;R$ 21.259,00
US-2014-100853;14/09/2014;9/19/2014;Standard Class;JB-15400;OFF-AP-10000891;R$ 52.448,00;2;80%;-131.12
US-2014-100853;14/09/2014;9/19/2014;Standard Class;JB-15400;OFF-LA-10003148;R$ 20,16;4;20%;R$ 6.552,00
US-2017-152366;21/04/2017;4/25/2017;Second Class;SJ-20500;OFF-AP-10002684;R$ 97.264,00;4;80%;-243.16
US-2015-101511;21/11/2015;11/23/2015;Second Class;JE-15745;FUR-CH-10004698;R$ 396.802,00;7;30%;-R$ 113.372,00
US-2015-101511;21/11/2015;11/23/2015;Second Class;JE-15745;OFF-SU-10002189;R$ 15,88;5;20%;-R$ 37.715,00
CA-2015-137225;15/12/2015;12/19/2015;Standard Class;JK-15640;OFF-AR-10001940;R$ 3,28;1;0%;R$ 14.104,00
CA-2014-166191;05/12/2014;12/09/2014;Second Class;DK-13150;OFF-ST-10003455;R$ 24.816,00;2;20%;R$ 18.612,00
CA-2014-166191;05/12/2014;12/09/2014;Second Class;DK-13150;TEC-AC-10004659;R$ 408.744,00;7;20%;R$ 766.395,00
CA-2014-158274;19/11/2014;11/24/2014;Second Class;RM-19675;TEC-PH-10003273;R$ 503,96;4;0%;R$ 1.310.296,00
CA-2014-158274;19/11/2014;11/24/2014;Second Class;RM-19675;TEC-PH-10004896;R$ 149,95;5;0%;R$ 41.986,00
CA-2014-158274;19/11/2014;11/24/2014;Second Class;RM-19675;TEC-AC-10002345;R$ 29,00;2;0%;7.25
CA-2016-105018;28/11/2016;12/02/2016;Standard Class;SK-19990;OFF-BI-10001890;R$ 7,16;2;0%;R$ 34.368,00
CA-2014-123260;26/08/2014;8/30/2014;Standard Class;FM-14290;TEC-AC-10002323;R$ 176,80;8;0%;R$ 22.984,00
CA-2016-157000;16/07/2016;7/22/2016;Standard Class;AM-10360;OFF-ST-10001328;R$ 37.224,00;3;20%;R$ 37.224,00
CA-2016-157000;16/07/2016;7/22/2016;Standard Class;AM-10360;OFF-PA-10001950;R$ 20.016,00;3;20%;R$ 6.255,00
CA-2015-102281;12/10/2015;10/14/2015;First Class;MP-17470;FUR-BO-10002613;R$ 899.136,00;4;20%;R$ 112.392,00
CA-2015-102281;12/10/2015;10/14/2015;First Class;MP-17470;TEC-PH-10001552;R$ 71,76;6;0%;R$ 200.928,00
CA-2015-102281;12/10/2015;10/14/2015;First Class;MP-17470;OFF-PA-10000061;R$ 51,84;8;0%;R$ 248.832,00
CA-2015-102281;12/10/2015;10/14/2015;First Class;MP-17470;FUR-BO-10002545;R$ 626.352,00;3;20%;R$ 469.764,00
CA-2015-102281;12/10/2015;10/14/2015;First Class;MP-17470;OFF-AR-10003514;R$ 19,90;5;0%;R$ 6.567,00
CA-2015-131457;31/10/2015;11/06/2015;Standard Class;MZ-17515;OFF-EN-10001509;R$ 14,28;7;0%;R$ 67.116,00
CA-2014-140004;21/03/2014;3/25/2014;Standard Class;CB-12025;OFF-AR-10004685;R$ 7.408,00;2;20%;R$ 12.038,00
CA-2014-140004;21/03/2014;3/25/2014;Standard Class;CB-12025;OFF-AR-10004027;R$ 6.048,00;3;20%;R$ 15.876,00
CA-2017-107720;06/11/2017;11/13/2017;Standard Class;VM-21685;OFF-ST-10001414;R$ 46,26;3;0%;R$ 120.276,00
US-2017-124303;06/07/2017;7/13/2017;Standard Class;FH-14365;OFF-BI-10000343;R$ 2.946,00;2;70%;-R$ 22.586,00
US-2017-124303;06/07/2017;7/13/2017;Standard Class;FH-14365;OFF-PA-10002749;R$ 16.056,00;3;20%;R$ 58.203,00
